Age,Hours per day,BPM,Anxiety,Depression,Insomnia,OCD,Mental health score,Primary streaming service,Fav genre,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Music effects
26.0,6.0,156.0,10.0,10.0,8.0,2.0,30.0,4,2,1,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,1
17.0,1.0,105.0,8.0,5.0,2.0,3.0,18.0,4,1,0,0,3,0,1,1,0,1,0,0,0,1,1,1,0,2,1,0
69.0,4.0,72.0,1.0,1.0,2.0,0.0,4.0,3,0,1,3,2,0,2,2,1,3,1,1,1,0,2,2,0,3,0,0
17.0,3.0,148.0,9.0,10.0,10.0,3.0,32.0,4,12,1,3,0,1,0,2,3,3,3,2,0,1,3,3,3,2,0,1
32.0,12.0,200.0,9.0,4.0,4.0,4.0,21.0,4,6,1,0,0,2,1,0,2,3,1,0,2,0,1,2,1,0,0,0
22.0,3.0,113.0,8.0,2.0,4.0,0.0,14.0,5,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1
38.0,1.0,191.0,1.0,1.0,5.0,1.0,8.0,4,10,1,1,0,0,2,0,0,1,0,0,0,3,0,0,0,2,1,0
18.0,10.0,140.0,10.0,9.0,9.0,8.0,36.0,5,2,0,0,0,3,2,0,2,0,0,0,2,0,3,3,3,0,0,0
14.0,0.5,173.0,4.0,0.0,4.0,0.0,8.0,2,15,1,3,0,0,1,0,0,1,2,1,0,0,3,0,0,0,3,0
19.0,5.0,180.0,2.0,3.0,5.0,2.0,12.0,4,10,1,1,1,1,1,0,1,1,0,1,2,3,2,1,1,3,2,0
20.0,3.0,100.0,2.0,3.0,3.0,0.0,8.0,5,0,0,3,2,1,2,1,1,3,1,1,0,1,2,2,1,1,1,0
18.0,2.0,123.0,8.0,4.0,3.0,0.0,15.0,4,14,0,0,3,0,1,1,1,1,0,0,0,2,3,0,2,2,2,0
31.0,4.0,55.0,8.0,8.0,9.0,3.0,28.0,1,0,1,3,1,0,1,1,0,2,0,0,1,1,0,0,0,2,2,0
72.0,6.0,77.0,0.0,1.0,0.0,2.0,3.0,4,14,0,0,2,0,0,0,0,3,0,2,0,0,1,3,0,3,0,0
16.0,4.0,150.0,7.5,5.0,7.0,8.5,28.0,4,11,1,1,1,2,2,1,3,1,2,1,2,1,3,1,1,1,1,0
19.0,3.0,73.0,3.0,3.0,0.0,0.0,6.0,5,13,1,1,0,2,0,0,2,1,0,0,1,0,2,1,3,2,2,0
16.0,2.0,155.0,7.0,5.0,3.0,1.0,16.0,4,0,0,3,1,0,1,0,1,1,0,0,1,0,3,0,0,1,1,0
39.0,1.0,89.0,6.0,4.0,1.0,1.0,12.0,4,5,1,0,1,1,2,0,3,1,1,1,2,2,3,2,3,3,0,0
15.0,6.0,110.0,8.0,8.0,7.0,10.0,33.0,4,7,1,2,0,1,2,0,1,2,3,2,2,1,3,2,1,3,0,1
14.0,9.0,140.0,10.0,8.0,9.0,5.0,32.0,4,12,1,3,1,1,1,1,2,1,3,1,2,1,3,3,3,1,1,0
21.0,1.0,135.0,3.0,0.0,2.0,0.0,5.0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.0,1.0,125.0,5.0,5.0,7.0,1.0,18.0,0,15,0,1,0,0,0,0,1,2,1,1,0,1,2,1,1,1,3,2
23.0,0.5,110.0,7.0,7.0,6.0,5.0,25.0,4,5,1,2,2,1,1,1,3,1,3,1,2,1,2,2,3,1,2,0
16.0,1.0,140.0,7.0,4.0,6.0,3.0,20.0,2,2,0,0,0,3,0,0,2,1,0,0,2,2,1,1,1,2,2,0
13.0,6.0,112.0,4.0,0.0,0.0,2.0,6.0,4,13,0,0,0,0,0,0,3,0,1,0,1,0,1,0,3,0,0,2
16.0,4.0,96.0,3.0,0.0,6.0,9.0,18.0,4,14,0,1,2,2,2,0,2,1,2,0,3,3,3,0,0,3,2,0
21.0,4.0,155.0,10.0,6.0,8.0,0.0,24.0,4,10,1,0,0,3,0,0,0,0,0,0,1,2,0,0,0,3,3,0
17.0,1.5,174.0,7.0,5.0,1.0,2.0,15.0,4,0,1,3,1,0,1,0,0,2,0,0,2,0,3,1,0,0,0,1
24.0,2.0,93.0,7.0,7.0,0.0,4.0,18.0,0,14,1,1,2,0,3,0,2,2,0,1,2,0,1,1,2,3,0,1
14.0,2.0,78.0,6.0,0.0,0.0,0.0,6.0,0,11,0,1,0,0,2,0,2,0,1,3,1,1,3,2,2,1,0,0
22.0,3.0,174.0,7.0,6.0,7.0,9.0,29.0,4,9,1,1,3,2,1,1,1,1,1,1,3,1,1,1,1,1,1,0
20.0,4.0,120.0,5.0,7.0,7.0,0.0,19.0,1,14,1,1,0,2,0,0,1,0,3,1,1,2,3,1,1,3,1,1
23.0,2.0,75.0,7.0,6.0,4.0,3.0,20.0,4,11,0,2,1,1,2,0,3,2,0,0,0,0,3,3,3,2,2,0
61.0,2.0,94.0,2.0,2.0,2.0,0.0,6.0,3,14,0,0,0,0,1,0,0,0,1,0,0,2,2,1,0,2,0,0
24.0,6.0,180.0,9.0,5.0,0.0,7.0,21.0,4,15,1,2,0,2,3,0,0,0,1,0,1,2,1,0,0,3,3,0
34.0,0.0,115.0,3.0,7.0,8.0,0.0,18.0,4,14,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,3,0,2
49.0,1.0,128.0,4.0,5.0,9.0,1.0,19.0,4,11,0,2,0,0,0,0,3,1,0,0,3,0,3,3,3,2,0,0
33.0,4.0,112.0,1.0,0.0,7.0,0.0,8.0,1,14,1,1,2,1,1,1,1,1,0,0,3,1,2,1,1,3,3,0
22.0,2.0,140.0,3.0,2.0,0.0,2.0,7.0,1,10,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,3,3,1
38.0,3.0,143.0,1.0,6.0,1.0,2.0,10.0,4,10,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0
23.0,4.0,72.0,8.0,10.0,4.0,0.0,22.0,5,5,0,1,1,0,1,0,3,1,0,0,2,1,3,2,2,2,1,1
34.0,2.0,100.0,8.0,10.0,10.0,0.0,28.0,1,15,1,1,1,1,0,0,2,1,1,0,1,1,0,0,2,1,3,1
40.0,3.0,120.0,3.0,0.0,8.0,1.0,12.0,2,10,1,0,0,0,0,0,0,2,0,2,0,3,1,1,0,2,0,1
16.0,10.0,105.0,0.0,0.0,0.0,0.0,0.0,4,14,0,1,3,0,3,1,1,2,0,0,0,3,2,1,1,3,0,1
23.0,10.0,119.0,8.0,8.0,5.0,0.0,21.0,1,15,1,1,0,2,2,0,1,0,2,0,2,1,2,0,1,2,3,0
22.0,4.0,137.0,8.0,7.0,6.0,2.0,23.0,5,3,1,1,2,3,3,0,2,2,0,1,2,3,3,2,2,3,2,0
41.0,3.0,178.0,6.0,5.0,4.0,0.0,15.0,4,10,1,3,1,0,1,0,0,0,2,0,0,3,1,0,1,2,3,1
63.0,2.0,133.0,5.0,4.0,6.0,2.0,17.0,4,14,0,3,2,1,3,0,1,2,0,1,0,0,0,1,0,3,0,0
28.0,1.0,72.0,3.0,1.0,0.0,2.0,6.0,4,14,0,1,1,0,1,0,1,0,0,0,2,1,2,0,1,2,0,1
58.0,1.0,133.0,5.0,6.0,3.0,1.0,15.0,5,14,0,1,2,1,2,2,2,2,0,1,1,2,1,2,2,2,0,0
58.0,1.0,80.0,0.0,0.0,2.0,1.0,3.0,5,0,0,2,1,0,1,2,1,2,1,1,0,0,1,0,0,0,0,0
67.0,4.0,146.0,7.0,6.0,7.0,4.0,24.0,2,14,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,3,0,0
70.0,2.0,88.0,8.0,5.0,6.0,1.0,20.0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.0,2.0,132.0,4.0,4.0,2.0,0.0,10.0,5,14,1,2,2,0,2,1,0,1,0,1,0,1,2,2,1,3,1,0
15.0,2.0,102.0,9.0,8.0,10.0,9.0,36.0,4,11,0,1,1,2,0,2,1,2,2,0,0,0,3,2,0,2,3,0
18.0,6.0,91.0,5.0,5.0,7.0,0.0,17.0,5,2,1,3,1,3,1,2,3,2,0,2,3,2,3,3,3,2,3,0
58.0,3.0,127.0,4.0,6.0,8.0,1.0,19.0,2,5,1,2,0,2,1,2,3,3,0,2,3,0,1,3,2,2,0,0
28.0,1.0,82.0,4.0,8.0,5.0,0.0,17.0,2,9,1,2,1,1,1,1,2,2,1,2,3,1,2,2,1,2,2,0
22.0,4.0,141.0,9.0,10.0,6.0,7.0,32.0,4,9,0,1,1,0,2,0,1,2,0,0,3,1,2,1,1,3,0,0
49.0,0.5,114.0,3.0,2.0,2.0,2.0,9.0,5,0,0,3,2,1,2,3,2,2,1,1,0,1,2,2,2,1,1,0
20.0,8.0,148.0,6.0,2.0,2.0,1.0,11.0,5,14,1,0,1,1,2,0,0,1,0,0,1,2,1,2,0,3,2,0
55.0,15.0,156.0,2.0,0.0,3.0,0.0,5.0,5,14,0,1,0,0,3,0,0,2,0,1,0,0,1,0,0,3,0,1
48.0,1.5,185.0,10.0,8.0,0.0,4.0,22.0,4,10,0,1,0,1,0,0,0,1,0,0,0,2,0,1,0,1,1,0
14.0,2.0,114.0,4.0,4.0,2.0,2.0,12.0,4,7,1,2,0,1,0,0,2,2,3,0,2,0,1,1,1,0,1,0
18.0,3.0,120.0,7.0,8.0,6.0,2.0,23.0,4,11,1,2,0,2,1,0,3,2,3,3,2,1,3,3,3,2,2,0
25.0,1.0,80.0,7.0,6.0,5.0,5.0,23.0,4,11,1,3,1,1,1,0,2,2,0,0,1,3,3,1,2,2,2,0
18.0,1.0,116.0,4.0,5.0,7.0,0.0,16.0,1,15,0,1,1,2,2,0,1,2,0,0,0,2,0,1,2,2,3,1
19.0,5.0,99.0,10.0,7.0,0.0,0.0,17.0,4,5,1,1,3,2,1,1,3,0,1,3,0,1,2,2,3,1,2,0
74.0,1.0,129.0,4.0,2.0,1.0,0.0,7.0,1,11,0,1,3,0,2,2,0,1,0,2,0,0,3,2,0,2,0,0
36.0,1.0,131.0,7.0,6.0,2.0,3.0,18.0,3,5,0,2,0,0,0,0,3,0,0,0,0,0,3,2,2,2,0,0
14.0,7.0,95.0,3.0,2.0,8.0,0.0,13.0,4,9,1,0,0,0,0,0,2,0,0,0,3,0,3,0,2,0,1,0
20.0,3.0,80.0,10.0,7.0,4.0,3.0,24.0,4,5,1,3,1,1,2,0,3,2,0,2,1,1,2,2,3,3,1,0
19.0,7.0,128.0,7.0,7.0,0.0,0.0,14.0,1,14,0,2,1,0,1,0,0,2,0,0,0,1,0,0,0,3,2,0
29.0,8.0,140.0,6.0,7.0,4.0,1.0,18.0,4,2,1,1,2,3,2,0,2,1,0,0,1,2,0,0,3,3,3,0
24.0,2.0,159.0,7.0,6.0,2.0,7.0,22.0,4,10,0,0,1,3,2,3,0,0,0,0,1,3,1,0,0,2,1,0
18.0,2.0,104.0,6.0,5.0,8.0,0.0,19.0,0,11,1,1,1,1,1,1,3,1,1,2,1,2,3,3,3,3,0,0
21.0,2.0,97.0,10.0,10.0,2.0,3.0,25.0,4,14,1,2,0,0,2,0,1,1,1,0,1,0,3,1,1,3,1,0
19.0,2.0,80.0,7.0,6.0,5.0,1.0,19.0,4,7,1,1,0,1,0,0,2,2,3,0,2,0,2,3,1,2,2,0
25.0,4.0,134.0,3.0,0.0,0.0,0.0,3.0,4,15,1,2,0,0,1,1,0,0,1,3,0,0,3,2,0,0,3,0
27.0,4.0,135.0,7.0,6.0,6.0,5.0,24.0,2,13,0,1,0,0,0,0,2,1,2,0,2,0,1,0,3,1,1,0
60.0,1.0,129.0,3.0,2.0,5.0,0.0,10.0,4,14,0,2,1,0,2,0,0,2,0,0,0,0,1,1,0,2,0,1
43.0,1.0,110.0,5.0,1.0,1.0,1.0,8.0,2,1,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0
51.0,5.0,180.0,1.0,2.0,1.0,0.0,4.0,1,14,0,2,1,0,2,0,0,1,0,0,0,2,1,1,0,3,1,1
63.0,8.0,70.0,2.0,1.0,2.0,2.0,7.0,5,14,0,2,2,1,1,0,0,1,0,1,1,0,2,1,0,2,0,0
24.0,1.0,103.0,10.0,10.0,7.0,8.0,35.0,5,3,1,2,0,3,3,1,2,2,1,1,3,1,2,1,2,3,3,0
19.0,8.0,99.0,7.0,2.0,1.0,6.0,16.0,4,11,1,1,2,2,3,0,3,0,3,2,1,1,3,2,3,3,1,0
56.0,8.0,117.0,6.0,4.0,1.0,0.0,11.0,0,11,0,2,1,1,2,0,2,2,1,1,1,2,2,2,2,2,0,0
20.0,1.0,102.0,5.0,9.0,6.0,1.0,21.0,4,2,0,1,0,3,0,0,2,0,1,1,3,1,3,0,0,0,0,0
19.0,1.0,127.0,7.0,5.0,7.0,0.0,19.0,1,15,0,3,0,0,1,1,2,2,1,1,3,0,2,2,1,1,3,0
20.0,8.0,93.0,7.0,6.0,7.0,4.0,24.0,4,6,1,1,2,1,3,0,2,3,1,2,3,0,2,1,2,2,1,0
65.0,6.0,146.0,3.0,5.0,0.0,2.0,10.0,0,12,1,1,1,0,1,1,1,1,1,2,0,0,2,3,0,2,0,1
18.0,4.0,150.0,8.0,7.0,10.0,6.0,31.0,1,2,1,3,0,3,0,0,0,1,0,0,1,0,2,0,1,1,2,0
42.0,2.0,85.0,2.0,4.0,5.0,2.0,13.0,4,14,1,1,0,0,0,0,1,0,0,0,0,0,2,1,1,2,1,0
56.0,2.0,120.0,0.0,0.0,0.0,5.0,5.0,2,6,1,2,0,2,2,1,0,3,0,1,1,1,2,1,0,2,1,1
20.0,1.0,120.0,8.0,6.0,9.0,8.0,31.0,5,11,1,0,0,2,0,0,1,2,3,1,1,0,3,2,1,1,0,0
15.0,1.0,150.0,4.0,2.0,3.0,2.0,11.0,4,15,1,0,1,2,0,0,2,1,0,0,3,2,2,1,1,3,3,0
57.0,2.0,174.0,6.0,4.0,10.0,0.0,20.0,4,4,0,2,0,0,1,3,0,2,0,1,0,0,2,2,0,1,0,0
22.0,7.0,112.0,8.0,8.0,10.0,0.0,26.0,0,11,1,0,0,2,1,0,3,0,3,2,0,0,3,3,3,2,1,0
17.0,5.0,180.0,5.0,5.0,5.0,5.0,20.0,4,11,1,0,0,2,0,0,2,0,3,1,1,0,3,3,2,1,1,0
19.0,3.0,121.0,10.0,8.0,6.0,2.0,26.0,4,14,0,0,3,0,1,2,0,0,0,0,0,1,3,0,2,3,2,1
50.0,1.0,98.0,0.0,0.0,7.0,0.0,7.0,1,14,0,2,2,0,0,0,3,2,1,1,0,1,3,2,2,3,0,0
24.0,6.0,118.0,8.0,8.0,10.0,0.0,26.0,4,14,1,0,1,2,3,0,1,1,2,0,1,3,2,0,1,3,2,0
18.0,3.0,135.0,7.0,8.0,4.0,10.0,29.0,2,10,0,2,2,0,1,1,1,0,0,0,0,3,0,1,1,1,0,0
15.0,4.0,105.0,3.0,5.0,4.0,0.0,12.0,4,11,0,0,1,0,0,2,1,1,1,1,2,1,3,2,2,3,2,0
17.0,2.0,122.0,5.0,2.0,3.0,1.0,11.0,4,11,1,1,0,0,1,0,2,0,3,1,0,0,3,0,2,0,0,0
18.0,2.0,136.0,6.0,3.0,4.0,2.0,15.0,4,13,1,1,0,0,0,0,3,1,0,0,0,1,2,1,3,1,3,0
18.0,1.0,165.0,5.0,6.0,8.0,2.0,21.0,4,14,0,2,0,2,0,0,1,1,0,0,1,3,2,0,1,3,1,0
18.0,3.0,130.0,8.0,4.0,7.0,5.0,24.0,4,7,1,2,0,0,0,0,2,0,3,0,1,0,2,3,1,2,1,0
18.0,2.0,115.0,8.0,3.0,1.0,3.0,15.0,4,14,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,3,0,0
17.0,6.0,140.0,3.0,3.0,0.0,0.0,6.0,2,13,0,1,0,1,0,2,3,2,0,0,2,0,2,2,3,1,0,0
34.0,3.0,95.0,0.0,0.0,0.0,0.0,0.0,4,0,1,3,0,0,0,0,0,1,0,0,1,2,1,0,0,2,2,1
18.0,3.0,150.0,5.0,4.0,2.0,0.0,11.0,5,11,0,1,1,2,1,0,3,1,1,0,1,1,3,1,3,1,2,1
18.0,2.0,97.0,2.0,4.0,0.0,0.0,6.0,4,12,0,0,0,0,0,2,3,1,0,1,1,0,2,3,3,1,0,0
19.0,3.0,122.0,4.0,0.0,7.0,0.0,11.0,4,14,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,3,0,1
25.0,4.0,150.0,10.0,8.0,6.0,2.0,26.0,1,11,1,1,0,2,0,0,3,0,1,1,1,2,3,1,3,3,1,1
